PRISM Time Series Data
Location:  Lat: 40.7500   Lon: -122.0000   Elev: unknown
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1991-01-01 - 1991-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Mar-31
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1991-01-01,0.00,-5.3,3.5,12.3
1991-01-02,0.00,-3.8,5.0,13.9
1991-01-03,0.00,-2.7,4.8,12.2
1991-01-04,0.00,-1.4,6.4,14.1
1991-01-05,0.00,-3.5,4.3,12.2
1991-01-06,0.00,-3.1,4.2,11.6
1991-01-07,22.66,-0.8,2.3,5.4
1991-01-08,0.00,2.0,4.2,6.5
1991-01-09,4.69,1.8,6.1,10.4
1991-01-10,4.11,3.5,6.4,9.3
1991-01-11,1.93,3.4,6.0,8.6
1991-01-12,8.12,3.7,5.8,7.9
1991-01-13,8.19,6.7,8.2,9.7
1991-01-14,0.00,6.8,9.2,11.6
1991-01-15,0.10,5.9,11.4,16.9
1991-01-16,0.00,4.9,9.2,13.5
1991-01-17,0.00,6.2,12.0,17.9
1991-01-18,0.00,2.6,11.9,21.2
1991-01-19,0.00,2.8,7.7,12.5
1991-01-20,0.00,4.4,11.1,17.7
1991-01-21,0.00,4.0,10.2,16.3
1991-01-22,0.00,3.8,9.8,15.8
1991-01-23,0.00,-0.0,9.6,19.1
1991-01-24,0.00,-1.3,7.2,15.6
1991-01-25,0.00,-1.9,7.8,17.6
1991-01-26,0.00,-2.1,6.1,14.2
1991-01-27,0.00,-2.2,7.0,16.2
1991-01-28,0.00,-2.4,6.0,14.4
1991-01-29,0.00,-3.0,5.9,14.7
1991-01-30,0.00,-1.1,8.2,17.6
1991-01-31,0.00,-2.3,5.4,13.0
1991-02-01,0.00,0.7,7.5,14.4
1991-02-02,37.95,1.1,7.3,13.5
1991-02-03,20.60,5.6,6.7,7.8
1991-02-04,6.05,4.7,7.0,9.3
1991-02-05,26.25,4.8,7.2,9.6
1991-02-06,0.00,4.8,11.0,17.1
1991-02-07,0.00,3.7,11.2,18.7
1991-02-08,0.00,3.0,10.8,18.6
1991-02-09,0.00,2.6,10.0,17.4
1991-02-10,0.00,2.1,10.5,18.9
1991-02-11,0.00,4.6,12.3,20.0
1991-02-12,0.00,3.2,10.9,18.7
1991-02-13,0.00,3.2,10.4,17.5
1991-02-14,0.00,5.4,13.9,22.4
1991-02-15,0.00,7.8,14.8,21.8
1991-02-16,0.00,6.9,13.7,20.5
1991-02-17,0.00,5.6,12.2,18.8
1991-02-18,0.00,3.7,10.8,18.0
1991-02-19,0.00,4.0,11.7,19.4
1991-02-20,0.00,3.7,12.7,21.8
1991-02-21,0.00,3.4,12.3,21.1
1991-02-22,0.00,3.7,11.6,19.4
1991-02-23,0.00,3.0,12.3,21.6
1991-02-24,0.00,6.8,14.7,22.5
1991-02-25,0.00,4.6,13.7,22.8
1991-02-26,0.00,3.4,13.4,23.3
1991-02-27,0.00,3.1,13.0,23.0
1991-02-28,4.63,4.9,12.5,20.0
1991-03-01,25.21,5.9,9.7,13.5
1991-03-02,21.33,5.7,8.6,11.5
1991-03-03,73.59,6.9,9.4,11.9
1991-03-04,50.12,8.1,10.9,13.7
1991-03-05,17.60,3.7,9.6,15.6
1991-03-06,0.00,0.6,6.5,12.5
1991-03-07,0.00,0.7,7.0,13.2
1991-03-08,0.00,0.6,8.8,17.0
1991-03-09,0.00,0.8,10.1,19.5
1991-03-10,4.24,2.1,7.5,12.8
1991-03-11,21.83,-0.8,3.1,7.0
1991-03-12,14.03,-1.4,3.3,8.0
1991-03-13,35.49,2.4,4.6,6.8
1991-03-14,1.85,0.4,5.7,11.0
1991-03-15,7.51,0.0,5.3,10.6
1991-03-16,0.00,-0.5,7.0,14.4
1991-03-17,3.03,0.6,4.4,8.2
1991-03-18,11.30,2.7,5.8,8.9
1991-03-19,2.45,2.0,6.9,11.7
1991-03-20,15.83,1.3,7.0,12.7
1991-03-21,2.76,2.2,6.5,10.9
1991-03-22,2.52,1.3,7.2,13.1
1991-03-23,14.94,2.0,6.4,10.9
1991-03-24,21.16,1.9,4.4,6.9
1991-03-25,16.60,1.6,4.0,6.4
1991-03-26,24.62,1.3,4.3,7.3
1991-03-27,1.82,-0.4,4.6,9.7
1991-03-28,0.00,-0.7,8.4,17.6
1991-03-29,0.00,1.1,9.8,18.5
1991-03-30,0.00,4.3,13.3,22.4
1991-03-31,0.00,5.8,14.6,23.3
1991-04-01,0.00,7.1,13.9,20.7
1991-04-02,2.67,7.9,11.9,15.9
1991-04-03,0.00,5.5,11.6,17.7
1991-04-04,0.00,4.8,11.9,19.1
1991-04-05,0.00,5.9,14.0,22.2
1991-04-06,18.67,7.4,11.4,15.4
1991-04-07,0.00,2.2,8.8,15.5
1991-04-08,0.00,1.6,8.9,16.2
1991-04-09,0.00,3.9,12.5,21.1
1991-04-10,0.00,2.7,11.2,19.8
1991-04-11,0.00,1.6,7.6,13.6
1991-04-12,0.00,2.3,10.2,18.1
1991-04-13,0.00,5.2,14.2,23.1
1991-04-14,0.00,4.9,13.9,22.9
1991-04-15,7.69,4.8,12.3,19.8
1991-04-16,2.39,4.1,9.1,14.0
1991-04-17,0.99,5.0,11.3,17.5
1991-04-18,0.59,5.4,12.4,19.5
1991-04-19,0.63,5.4,12.3,19.1
1991-04-20,3.12,5.4,13.1,20.7
1991-04-21,1.94,6.9,9.8,12.7
1991-04-22,0.00,7.2,13.3,19.3
1991-04-23,5.33,7.2,14.9,22.5
1991-04-24,3.27,8.0,10.8,13.7
1991-04-25,9.18,4.3,9.2,14.0
1991-04-26,1.26,3.5,8.1,12.7
1991-04-27,0.00,3.7,11.4,19.2
1991-04-28,0.00,3.9,13.0,22.1
1991-04-29,0.00,6.9,15.8,24.7
1991-04-30,0.00,5.9,15.5,25.1
1991-05-01,0.00,6.1,14.3,22.6
1991-05-02,1.13,6.2,9.5,12.8
1991-05-03,2.39,6.0,11.2,16.4
1991-05-04,0.00,7.2,14.9,22.7
1991-05-05,0.00,6.5,15.7,24.8
1991-05-06,0.00,9.7,16.1,22.5
1991-05-07,0.00,8.9,16.0,23.1
1991-05-08,5.26,9.3,16.4,23.5
1991-05-09,0.00,4.8,11.0,17.2
1991-05-10,0.00,5.3,11.1,16.8
1991-05-11,0.00,6.3,13.1,20.0
1991-05-12,0.00,7.5,14.2,20.8
1991-05-13,14.74,9.1,14.7,20.4
1991-05-14,7.50,6.5,10.5,14.6
1991-05-15,0.00,6.6,15.3,24.0
1991-05-16,0.00,10.5,18.3,26.1
1991-05-17,11.36,7.8,14.3,20.8
1991-05-18,11.40,5.4,10.1,14.7
1991-05-19,1.21,4.7,9.2,13.7
1991-05-20,0.00,6.1,13.6,21.0
1991-05-21,0.00,8.6,16.4,24.2
1991-05-22,0.00,10.0,19.8,29.5
1991-05-23,0.00,11.0,20.8,30.7
1991-05-24,0.00,11.6,21.4,31.3
1991-05-25,0.00,11.8,21.0,30.1
1991-05-26,0.00,11.6,18.6,25.6
1991-05-27,0.00,11.3,18.5,25.7
1991-05-28,0.00,10.1,18.8,27.5
1991-05-29,0.00,9.3,17.7,26.0
1991-05-30,5.25,7.1,11.6,16.1
1991-05-31,0.00,8.0,14.0,19.9
1991-06-01,0.00,10.3,19.9,29.5
1991-06-02,0.00,14.9,23.6,32.4
1991-06-03,0.00,13.4,22.5,31.7
1991-06-04,0.00,12.5,21.0,29.5
1991-06-05,0.00,11.4,18.9,26.3
1991-06-06,0.00,10.6,19.1,27.5
1991-06-07,0.00,10.8,19.4,28.0
1991-06-08,0.00,12.1,22.2,32.3
1991-06-09,0.00,16.1,24.7,33.2
1991-06-10,0.00,16.6,26.8,36.9
1991-06-11,0.00,17.1,27.2,37.3
1991-06-12,0.00,16.5,26.2,35.9
1991-06-13,0.00,14.4,23.4,32.3
1991-06-14,0.00,11.8,20.0,28.1
1991-06-15,0.00,10.2,19.9,29.6
1991-06-16,0.00,10.5,20.6,30.7
1991-06-17,0.00,11.5,20.1,28.7
1991-06-18,0.00,10.9,20.8,30.6
1991-06-19,0.00,12.5,21.2,29.9
1991-06-20,0.11,10.4,16.3,22.2
1991-06-21,0.00,9.4,18.2,27.0
1991-06-22,0.00,9.4,18.8,28.2
1991-06-23,0.00,10.1,19.1,28.2
1991-06-24,0.08,10.3,17.9,25.5
1991-06-25,0.00,10.5,18.1,25.7
1991-06-26,1.88,11.4,18.4,25.4
1991-06-27,3.03,10.3,17.1,23.9
1991-06-28,1.60,12.0,17.4,22.7
1991-06-29,7.97,13.2,17.0,20.8
1991-06-30,0.00,12.3,18.3,24.4
1991-07-01,0.00,14.5,23.8,33.0
1991-07-02,0.00,20.4,29.4,38.4
1991-07-03,0.00,21.8,31.9,42.0
1991-07-04,0.00,21.7,32.6,43.5
1991-07-05,0.00,20.4,31.9,43.3
1991-07-06,0.00,18.0,28.9,39.7
1991-07-07,0.00,16.7,26.8,36.8
1991-07-08,0.00,16.1,26.4,36.7
1991-07-09,0.00,15.8,25.6,35.4
1991-07-10,0.00,16.1,24.9,33.7
1991-07-11,0.00,16.5,26.1,35.7
1991-07-12,0.00,17.7,27.8,37.9
1991-07-13,0.00,18.6,27.5,36.5
1991-07-14,0.00,16.9,25.7,34.5
1991-07-15,0.00,16.1,24.5,32.9
1991-07-16,0.00,15.8,22.7,29.5
1991-07-17,0.00,15.9,20.4,25.0
1991-07-18,0.00,16.3,24.1,31.9
1991-07-19,0.00,15.0,25.4,35.9
1991-07-20,1.72,17.5,25.6,33.6
1991-07-21,2.20,17.9,25.9,34.0
1991-07-22,0.00,18.0,27.7,37.4
1991-07-23,0.00,18.9,28.6,38.3
1991-07-24,0.00,18.3,27.7,37.0
1991-07-25,0.00,17.9,26.9,36.0
1991-07-26,0.00,17.9,27.1,36.3
1991-07-27,0.00,19.6,29.1,38.6
1991-07-28,0.00,20.1,30.6,41.2
1991-07-29,0.00,19.7,30.2,40.6
1991-07-30,0.00,20.6,31.3,41.9
1991-07-31,0.00,20.9,31.1,41.2
1991-08-01,0.00,16.5,26.8,37.0
1991-08-02,0.00,15.5,25.5,35.4
1991-08-03,0.00,14.8,25.2,35.5
1991-08-04,0.00,14.8,24.1,33.3
1991-08-05,0.00,13.7,23.3,32.8
1991-08-06,0.00,14.3,23.3,32.3
1991-08-07,0.00,14.7,21.4,28.2
1991-08-08,0.00,15.8,22.6,29.5
1991-08-09,0.00,13.3,24.2,35.1
1991-08-10,0.00,16.7,25.6,34.5
1991-08-11,0.00,15.8,26.4,37.0
1991-08-12,0.00,14.4,25.9,37.4
1991-08-13,0.00,16.1,26.1,36.2
1991-08-14,0.00,16.4,24.7,33.0
1991-08-15,1.10,16.8,26.8,36.8
1991-08-16,0.00,15.3,22.9,30.5
1991-08-17,0.00,14.5,24.7,35.0
1991-08-18,0.00,14.9,25.0,35.0
1991-08-19,0.00,14.8,24.3,33.9
1991-08-20,0.00,15.6,25.2,34.8
1991-08-21,0.00,15.7,25.8,35.8
1991-08-22,0.00,15.6,26.3,37.1
1991-08-23,0.00,14.7,25.6,36.6
1991-08-24,0.00,16.2,26.4,36.5
1991-08-25,0.00,15.5,25.7,35.8
1991-08-26,0.00,12.6,22.3,32.1
1991-08-27,0.00,11.0,20.8,30.6
1991-08-28,0.00,11.1,18.6,26.1
1991-08-29,0.00,14.0,19.9,25.8
1991-08-30,0.00,14.1,22.9,31.7
1991-08-31,0.00,14.2,24.0,33.7
1991-09-01,0.00,15.6,24.3,33.1
1991-09-02,0.00,16.7,25.6,34.5
1991-09-03,0.00,17.1,27.6,38.0
1991-09-04,0.00,17.4,28.7,39.9
1991-09-05,0.00,19.1,29.8,40.5
